location_name,location_type,address,description,location_image,latitude,longitude
Gathering Stones,Sculpture,Eastern Promenade Trail,"""Gathering Stones is a collection of six large sculpted stone groupings by Maine artist Jesse Salisbury, arranged for interaction and social gathering. The artwork is located at Fish Point along Portland’s Eastern Promenade Trail and was originally commissioned as a temporary art installation by TEMPOArt, a non-profit arts organization based in Portland, Maine.""",https://www.publicartportland.org/wp-content/uploads/2023/06/SharynPeaveyPhoto-GatheringStones-2020-068-1-312x247.jpg,43.66616422056631,-70.24037003517151
Pinecone,Sculpture,Deering Oaks Park,"Pinecone is a sculpture made of salvaged steel shovels by Maine artist Patrick Plourde, located in Deering Oaks Park and accepted as a gift to the public art permanent collection to honor Alice Spencer, founder of TEMPOArt, a non-profit arts organization based in Portland, Maine, for her public art support and leadership in Portland. The sculpture is placed near the base of tall pine trees with juxtaposition of sculpture and site to suggest a found object in the landscape.",https://www.publicartportland.org/wp-content/uploads/2023/06/Preference-Pinecone1-312x247.jpg,43.65871322509997,-70.27230937271118
Passing the Torch,Sculpture,Deering Ave Roundabout,"Passing the Torch is a collection of three illuminated bronze sculpture mounted on Maine granite by artist, Mark Pettegrow. The artwork contributes as a visual gateway into Portland, located within the Deering Avenue Roundabout that was completed in 2021.",https://www.publicartportland.org/wp-content/uploads/2023/06/Preference-Passing-the-Torch1-312x247.jpg,43.6715641,-70.2965459
Great Black Hawk,Sculpture,Deering Oaks Park,"The Great Black Hawk is a bronze sculpture by Maine wildlife sculptor, David Smus. It is in commemoration of the rare appearance of a juvenile great black hawk in Portland, Maine in the early winter of 2018-2019.",https://www.publicartportland.org/wp-content/uploads/2020/09/great-black-hawk-2-669h-312x247.png,43.65871322509997,-70.27200937271118
Luminous Arbor,Sculpture,Woodfords Corner,"In its simplest interpretation, Luminous Arbor is a light fixture. It is composed of a cluster of streetlights in keeping with familiar public lighting features. Here, however, the lights come to life. Rising from a single foundation, the light poles gradually diverge into individual intertwining paths . . . suggesting a tree, a swarm, or a choreographed dance . . . In this way Luminous Arbor will both illuminate and create a visual anchor at Woodfords Corner and the surrounding communities.",https://www.publicartportland.org/wp-content/uploads/2018/12/unspecified-312x247.jpg,43.6703594,-70.2842153
Figure,Sculpture,Portland International Jetport,"""Over a lifetime, Don Meserve explored multiple themes in a variety of media and techniques. Best known for artworks carved in granite and basalt, he loved to demonstrate sculpting methods, particularly at the first international Schoodic Sculpture symposium where he completed a massive installation piece for the waterfront at Winter Harbor.""",https://www.publicartportland.org/wp-content/uploads/2016/03/unspecified-4-312x247.jpg,43.6473176,-70.3112984
Rabbit,Sculpture,Portland International Jetport,"""Rabbit is placed down at a child’s height in order to encourage touch and a moment of quiet in the helter-skelter of the airport.
This sculpture is one of several generously donated to Portland and the Jetport by William D. and Mary Louise Hamill.""",https://www.publicartportland.org/wp-content/uploads/2016/03/rabbit-11-312x247.jpg,43.6473176,-70.3112984
Gyre Falcon,Sculpture,Portland International Jetport,"""Gyre Falcon is carved from a piece of Feldspar known as “graphic granite” for its wonderful patterning. Von Huene found this particular piece in a quarry in Georgetown, Maine. It is an interesting material to work due to the patterns, sub-patterns, and the types of shapes that the raw material takes. The material is a combination of medium-hard feldspar and hard quartz.""",https://www.publicartportland.org/wp-content/uploads/2016/03/unspecified-3-312x247.jpg,43.6473176,-70.3112984
Puffin,Painted wood,Casco Bay Lines Ferry Terminal,"""Bernard Langlais made Puffin in 1976 out of painted wood. Ann Waldron generously donated this sculpture to Portland and wanted it placed where many people would be able to see it, so it is in the Casco Bay Lines Ferry Terminal that serves more than 1 million passengers every year.""",https://www.publicartportland.org/wp-content/uploads/2016/03/unspecified-21-312x247.jpg,43.6566001,-70.2479802
Lion's Head,Sculpture,129 Island Ave,"Artist Bernard Langlais said of his native Maine, “I feel a sense of oneness with the state.” Langlais forged his early career in Europe and New York City, but his rustic sensibilities, desire to work more immediately with his hands, and to work on a larger scale brought him back to Maine in the late 1960s.",https://www.publicartportland.org/wp-content/uploads/2015/05/Langlais-Lion-Head-1280x800-312x247.png,43.6583394,-70.1983239
Portland Brick,Memorial,India Street,"""Portland Brick is a multifaceted public art project that marries together community, function, and history through technology, live performance, and the fabrication of bricks.""",https://www.publicartportland.org/wp-content/uploads/2021/01/priscilla-loretta-2-312x247.jpg,43.66067758679351,-70.25043379523963
Standing Bear,Sculpture,14 Ocean Gateway Pier,"Artist Bernard Langlais said of his native Maine, “I feel a sense of oneness with the state.” Langlais forged his early career in Europe and New York City, but his rustic sensibilities, desire to work more immediately with his hands, and to work on a larger scale brought him back to Maine in the late 1960s.Standing Bear was made in 1977 during his most productive years.  This sculpture is one of several gifted by the Langlais Estate to the City of Portland through Colby College and the Kohler Foundation.",https://www.publicartportland.org/wp-content/uploads/2015/04/Langlais-Bear-1280x800-312x247.png,43.6598936,-70.2465363
Birdhouse Heads at Casco Bay High School,Statue,PATHS and Casco Bay High School,"""Langlais built many Birdhouse Heads and posted them high up on platforms on the property in Cushing. Each head is different, some with hats and some with glasses or large nails for hair.""",https://www.publicartportland.org/wp-content/uploads/2014/10/Birdhouse-Heads-CBH-copy-312x247.jpg,43.6974104,-70.2941408
Link,Sculpture,1001 Westbrook St,"Jesse Salisbury’s Link series is a sculptural experiment of modular interlocking forms.  The forms are carved and split from a single rectangular granite block and then the separated forms are moved around each other to form the finished sculpture arrangement.  The result is a reductive sculpture larger than the original block with various forms possible depending on how the modular parts are arranged around each other.  In particular Salisbury likes to contrast the raw split texture of the original granite block with the carved facets.  The textures and motion of the sculpture creates a visual puzzle for the viewer to ponder the interior and exterior spaces, as well as contemplate the construction and movement.",https://www.publicartportland.org/wp-content/uploads/2014/10/Link-312x247.jpg,43.6473301,-70.3101787
Acrobatic Dogs,Sculpture,1001 Westbrook St,"Artist Bernard Langlais said of his native Maine, “I feel a sense of oneness with the state.” Langlais forged his early career in Europe and New York City, but his rustic sensibilities, desire to work more immediately with his hands, and to work on a larger scale brought him back to Maine in the late 1960s. Acrobatic Dogs was made in 1977 during his most productive years.  This sculpture is one of several gifted by the Langlais Estate to the City of Portland through Colby College and the Kohler Foundation.",https://www.publicartportland.org/wp-content/uploads/2014/10/Acrobatic-Dogs-at-PPL-312x247.jpg,43.6473301,-70.3101787
